node_id,ip,port,country,asn,node_type,first_seen,last_seen
N0000,203.0.113.28,8333,IN,AS10022,high_degree_peer,2025-10-14T17:47:12.639075,2025-10-14T18:07:51.484634
N0001,192.0.2.181,8333,NL,AS10008,standard_peer,2025-10-14T17:46:12.639075,2025-10-14T18:08:44.484634
N0002,192.0.2.43,8333,RU,AS10028,standard_peer,2025-10-14T17:44:47.639075,2025-10-14T18:06:26.484634
N0003,192.0.2.65,8333,GB,AS10018,monitoring_node,2025-10-14T17:47:46.639075,2025-10-14T18:06:31.484634
N0004,192.0.2.252,8333,US,AS10000,high_degree_peer,2025-10-14T17:44:33.639075,2025-10-14T18:09:00.484634
N0005,192.0.2.138,8333,KR,AS10037,high_degree_peer,2025-10-14T17:45:38.639075,2025-10-14T18:04:23.484634
N0006,198.51.100.142,8333,IN,AS10022,high_degree_peer,2025-10-14T17:46:57.639075,2025-10-14T18:08:18.484634
N0007,192.0.2.89,8333,IN,AS10022,high_degree_peer,2025-10-14T17:45:36.639075,2025-10-14T18:06:32.484634
N0008,203.0.113.25,8333,US,AS10002,standard_peer,2025-10-14T17:46:09.639075,2025-10-14T18:08:53.484634
N0009,198.51.100.59,18333,NL,AS10006,standard_peer,2025-10-14T17:46:27.639075,2025-10-14T18:07:37.484634
N0010,203.0.113.168,8333,NL,AS10006,high_degree_peer,2025-10-14T17:44:27.639075,2025-10-14T18:08:20.484634
N0011,198.51.100.100,8333,CA,AS10030,standard_peer,2025-10-14T17:47:43.639075,2025-10-14T18:06:39.484634
N0012,192.0.2.194,8333,FR,AS10017,high_degree_peer,2025-10-14T17:46:26.639075,2025-10-14T18:06:45.484634
N0013,192.0.2.93,8333,BR,AS10025,standard_peer,2025-10-14T17:44:28.639075,2025-10-14T18:08:52.484634
N0014,203.0.113.112,8333,NL,AS10007,standard_peer,2025-10-14T17:43:49.639075,2025-10-14T18:06:58.484634
N0015,192.0.2.106,8333,DE,AS10004,standard_peer,2025-10-14T17:46:12.639075,2025-10-14T18:06:45.484634
N0016,192.0.2.248,8333,JP,AS10012,standard_peer,2025-10-14T17:46:52.639075,2025-10-14T18:06:50.484634
N0017,203.0.113.8,18333,US,AS10000,monitoring_node,2025-10-14T17:46:40.639075,2025-10-14T18:08:16.484634
N0018,198.51.100.223,8333,BR,AS10026,standard_peer,2025-10-14T17:44:02.639075,2025-10-14T18:06:33.484634
N0019,192.0.2.37,8333,FR,AS10015,standard_peer,2025-10-14T17:45:59.639075,2025-10-14T18:06:05.484634
N0020,198.51.100.207,8333,IN,AS10022,standard_peer,2025-10-14T17:48:23.639075,2025-10-14T18:08:42.484634
