connection_id,timestamp_start,timestamp_end,src_node_id,dst_node_id,src_ip,dst_ip,src_port,dst_port,direction
CONN000001,2025-10-14T17:45:20.639075,2025-10-14T18:05:15.484634,N0001,N0000,192.0.2.181,203.0.113.28,37486,8333,outbound
CONN000002,2025-10-14T17:43:43.639075,2025-10-14T18:08:56.484634,N0000,N0002,203.0.113.28,192.0.2.43,22627,8333,outbound
CONN000003,2025-10-14T17:45:00.639075,2025-10-14T18:07:10.484634,N0003,N0000,192.0.2.65,203.0.113.28,58276,8333,outbound
CONN000004,2025-10-14T17:44:54.639075,2025-10-14T18:04:35.484634,N0004,N0000,192.0.2.252,203.0.113.28,64488,8333,outbound
CONN000005,2025-10-14T17:45:51.639075,2025-10-14T18:07:09.484634,N0000,N0005,203.0.113.28,192.0.2.138,7813,8333,outbound
CONN000006,2025-10-14T17:46:42.639075,2025-10-14T18:05:28.484634,N0006,N0000,198.51.100.142,203.0.113.28,44063,8333,outbound
CONN000007,2025-10-14T17:47:35.639075,2025-10-14T18:07:08.484634,N0000,N0007,203.0.113.28,192.0.2.89,56426,8333,outbound
CONN000008,2025-10-14T17:47:32.639075,2025-10-14T18:06:31.484634,N0010,N0000,203.0.113.168,203.0.113.28,38648,8333,outbound
CONN000009,2025-10-14T17:44:51.639075,2025-10-14T18:08:56.484634,N0000,N0013,203.0.113.28,192.0.2.93,64891,8333,outbound
CONN000010,2025-10-14T17:43:45.639075,2025-10-14T18:04:22.484634,N0018,N0000,198.51.100.223,203.0.113.28,40935,8333,outbound
CONN000011,2025-10-14T17:46:14.639075,2025-10-14T18:04:23.484634,N0021,N0000,203.0.113.92,203.0.113.28,12847,8333,outbound
CONN000012,2025-10-14T17:45:52.639075,2025-10-14T18:07:02.484634,N0000,N0025,203.0.113.28,198.51.100.74,24028,8333,outbound
CONN000013,2025-10-14T17:47:17.639075,2025-10-14T18:08:58.484634,N0000,N0041,203.0.113.28,203.0.113.249,44103,8333,outbound
CONN000014,2025-10-14T17:47:18.639075,2025-10-14T18:04:24.484634,N0000,N0043,203.0.113.28,203.0.113.52,7037,8333,outbound
CONN000015,2025-10-14T17:46:40.639075,2025-10-14T18:07:21.484634,N0049,N0000,198.51.100.108,203.0.113.28,28538,8333,outbound
CONN000016,2025-10-14T17:47:10.639075,2025-10-14T18:07:18.484634,N0000,N0053,203.0.113.28,203.0.113.141,21447,8000,outbound
CONN000017,2025-10-14T17:43:40.639075,2025-10-14T18:04:52.484634,N0054,N0000,198.51.100.97,203.0.113.28,58914,8333,outbound
CONN000018,2025-10-14T17:47:10.639075,2025-10-14T18:04:34.484634,N0000,N0062,203.0.113.28,203.0.113.119,45193,8333,outbound
CONN000019,2025-10-14T17:44:44.639075,2025-10-14T18:07:46.484634,N0000,N0067,203.0.113.28,198.51.100.9,32852,8333,outbound
CONN000020,2025-10-14T17:44:58.639075,2025-10-14T18:06:28.484634,N0068,N0000,192.0.2.34,203.0.113.28,15151,8333,outbound
CONN000021,2025-10-14T17:47:32.639075,2025-10-14T18:07:05.484634,N0074,N0000,192.0.2.11,203.0.113.28,29198,8333,outbound
CONN000022,2025-10-14T17:44:21.639075,2025-10-14T18:08:38.484634,N0000,N0094,203.0.113.28,203.0.113.176,44745,8333,outbound
CONN000023,2025-10-14T17:46:38.639075,2025-10-14T18:07:31.484634,N0000,N0095,203.0.113.28,203.0.113.100,40301,8000,outbound
CONN000024,2025-10-14T17:46:46.639075,2025-10-14T18:06:43.484634,N0000,N0103,203.0.113.28,203.0.113.49,62976,8333,outbound
CONN000025,2025-10-14T17:47:20.639075,2025-10-14T18:06:19.484634,N0000,N0120,203.0.113.28,198.51.100.87,19993,8333,outbound
CONN000026,2025-10-14T17:48:27.639075,2025-10-14T18:08:23.484634,N0000,N0137,203.0.113.28,203.0.113.88,49980,8333,outbound
CONN000027,2025-10-14T17:47:24.639075,2025-10-14T18:07:23.484634,N0001,N0005,192.0.2.181,192.0.2.138,35927,8333,outbound
CONN000028,2025-10-14T17:44:14.639075,2025-10-14T18:08:55.484634,N0008,N0001,203.0.113.25,192.0.2.181,55638,8333,outbound
CONN000029,2025-10-14T17:45:29.639075,2025-10-14T18:04:45.484634,N0012,N0001,192.0.2.194,192.0.2.181,27046,8333,outbound
CONN000030,2025-10-14T17:48:09.639075,2025-10-14T18:07:52.484634,N0031,N0001,192.0.2.14,192.0.2.181,2252,8333,outbound
CONN000031,2025-10-14T17:47:51.639075,2025-10-14T18:06:49.484634,N0001,N0032,192.0.2.181,203.0.113.56,38756,8333,outbound
CONN000032,2025-10-14T17:45:03.639075,2025-10-14T18:07:42.484634,N0001,N0043,192.0.2.181,203.0.113.52,19997,8333,outbound
CONN000033,2025-10-14T17:48:20.639075,2025-10-14T18:06:55.484634,N0001,N0047,192.0.2.181,203.0.113.145,12287,8333,outbound
CONN000034,2025-10-14T17:44:35.639075,2025-10-14T18:07:14.484634,N0051,N0001,198.51.100.238,192.0.2.181,6799,8333,outbound
CONN000035,2025-10-14T17:47:36.639075,2025-10-14T18:06:13.484634,N0001,N0069,192.0.2.181,192.0.2.199,29576,8333,outbound
CONN000036,2025-10-14T17:44:02.639075,2025-10-14T18:04:49.484634,N0070,N0001,203.0.113.7,192.0.2.181,26960,8333,outbound
CONN000037,2025-10-14T17:45:37.639075,2025-10-14T18:06:02.484634,N0094,N0001,203.0.113.176,192.0.2.181,22851,8333,outbound
CONN000038,2025-10-14T17:47:51.639075,2025-10-14T18:08:30.484634,N0123,N0001,198.51.100.253,192.0.2.181,42523,8333,outbound
CONN000039,2025-10-14T17:44:09.639075,2025-10-14T18:05:48.484634,N0001,N0129,192.0.2.181,198.51.100.205,60394,8333,outbound
CONN000040,2025-10-14T17:45:31.639075,2025-10-14T18:05:24.484634,N0004,N0002,192.0.2.252,192.0.2.43,16508,8333,outbound
CONN000041,2025-10-14T17:46:19.639075,2025-10-14T18:05:50.484634,N0002,N0006,192.0.2.43,198.51.100.142,12394,8333,outbound
CONN000042,2025-10-14T17:47:52.639075,2025-10-14T18:05:39.484634,N0004,N0003,192.0.2.252,192.0.2.65,63367,8333,outbound
CONN000043,2025-10-14T17:44:18.639075,2025-10-14T18:08:06.484634,N0013,N0003,192.0.2.93,192.0.2.65,50467,8333,outbound
CONN000044,2025-10-14T17:43:34.639075,2025-10-14T18:07:58.484634,N0014,N0003,203.0.113.112,192.0.2.65,45662,8333,outbound
CONN000045,2025-10-14T17:43:41.639075,2025-10-14T18:06:54.484634,N0018,N0003,198.51.100.223,192.0.2.65,57663,8333,outbound
CONN000046,2025-10-14T17:45:49.639075,2025-10-14T18:05:26.484634,N0019,N0003,192.0.2.37,192.0.2.65,29844,8333,outbound
CONN000047,2025-10-14T17:44:44.639075,2025-10-14T18:06:44.484634,N0003,N0027,192.0.2.65,203.0.113.191,53212,8333,outbound
CONN000048,2025-10-14T17:48:02.639075,2025-10-14T18:07:09.484634,N0003,N0029,192.0.2.65,203.0.113.190,34272,8333,outbound
CONN000049,2025-10-14T17:44:34.639075,2025-10-14T18:08:00.484634,N0003,N0034,192.0.2.65,192.0.2.9,3488,8333,outbound
CONN000050,2025-10-14T17:46:04.639075,2025-10-14T18:04:48.484634,N0003,N0036,192.0.2.65,192.0.2.10,43272,8433,outbound
CONN000051,2025-10-14T17:47:44.639075,2025-10-14T18:08:28.484634,N0044,N0003,192.0.2.151,192.0.2.65,26221,8333,outbound
CONN000052,2025-10-14T17:43:47.639075,2025-10-14T18:04:30.484634,N0003,N0046,192.0.2.65,198.51.100.202,30497,18333,outbound
CONN000053,2025-10-14T17:43:38.639075,2025-10-14T18:05:45.484634,N0050,N0003,198.51.100.15,192.0.2.65,22095,8333,outbound
CONN000054,2025-10-14T17:44:14.639075,2025-10-14T18:05:26.484634,N0065,N0003,192.0.2.178,192.0.2.65,63789,8333,outbound
CONN000055,2025-10-14T17:47:38.639075,2025-10-14T18:07:04.484634,N0003,N0075,192.0.2.65,192.0.2.139,65405,8333,outbound
CONN000056,2025-10-14T17:44:12.639075,2025-10-14T18:05:37.484634,N0078,N0003,192.0.2.201,192.0.2.65,3589,8333,outbound
CONN000057,2025-10-14T17:44:46.639075,2025-10-14T18:07:53.484634,N0003,N0081,192.0.2.65,203.0.113.24,35369,8333,outbound
