observation_id,timestamp,observer_id,src_ip,src_port,dst_ip,dst_port,txid,message_type,peer_id,connection_id,propagation_delay_ms,direction,sequence_number
OBS0000001,2025-10-14T17:48:30.691598,N0129,192.0.2.222,8333,198.51.100.205,8333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0131,,52.523,inbound,1
OBS0000002,2025-10-14T17:48:30.784709,N0094,192.0.2.181,8333,203.0.113.176,8333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0001,,145.634,inbound,2
OBS0000003,2025-10-14T17:48:30.807974,N0109,203.0.113.52,8333,203.0.113.127,8333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0043,,168.899,inbound,3
OBS0000004,2025-10-14T17:48:30.813581,N0125,192.0.2.252,8333,203.0.113.219,18333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0004,,174.506,inbound,4
OBS0000005,2025-10-14T17:48:30.816370,N0088,203.0.113.25,8333,192.0.2.216,8000,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0008,,177.295,inbound,5
OBS0000006,2025-10-14T17:48:30.818012,N0087,203.0.113.112,8333,198.51.100.122,8333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0014,,178.937,inbound,6
OBS0000007,2025-10-14T17:48:30.819389,N0136,192.0.2.9,8333,198.51.100.11,8333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0034,,180.314,inbound,7
OBS0000008,2025-10-14T17:48:30.824480,N0017,203.0.113.112,8333,203.0.113.8,18333,224ea7c94c57359904984b28413f827f4fbe67e1b3209ac76bb9a5503035d21e,inv,N0014,,185.405,inbound,8
OBS0000009,2025-10-14T17:48:34.377043,N0129,203.0.113.168,8333,198.51.100.205,8333,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0010,,15.339,inbound,1
OBS0000010,2025-10-14T17:48:34.410893,N0094,203.0.113.28,8333,203.0.113.176,8333,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0000,,49.189,inbound,2
